ELEMENT,Axis_0,COLOUR,DEPTH,LENGTH,LENGTHTOPARENT,NAME,NODE_NUMBER,PARENTNODE,TERMINAL_NODE_FIRST,TERMINAL_NODE_LAST,TOTAL_LENGTH,TREENAME,_y
1,1,,1,0,0,507___,1,0,3,510,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,32.0874798751203
10,10,,7,0.000105131421776711,0.000105131421776711,inaequilatera,10,9,6,6,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,15.7
100,100,,13,0.000347742395107584,0.000347742395107584,tysonii,100,98,51,51,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,60.7
1000,1000,,32,6.64801637705675e-005,6.64801637705675e-005,471___,1000,999,502,504,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,512.45
1001,1001,,33,8.37157617851591e-005,8.37157617851591e-005,auriculiformis,1001,1000,502,502,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,511.7
1002,1002,,33,0.000251147285355477,0.000251147285355477,470___,1002,1000,503,504,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,513.2
1003,1003,,34,0.000430538203466533,0.000430538203466533,mangium,1003,1002,503,503,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,512.7
1004,1004,,34,0.00053184131016454,0.00053184131016454,spirorbis,1004,1002,504,504,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,513.7
1005,1005,,32,3.78297166225824e-005,3.78297166225824e-005,476___,1005,999,505,510,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,516.7
1006,1006,,33,0.000105131421776711,0.000105131421776711,472___,1006,1005,505,506,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,515.2
1007,1007,,34,0.000108931352684303,0.000108931352684303,longispicata,1007,1006,505,505,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,514.7
1008,1008,,34,0.00180826045455944,0.00180826045455944,faucium,1008,1006,506,506,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,515.7
1009,1009,,33,4.7090116004152e-005,4.7090116004152e-005,475___,1009,1005,507,510,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,518.2
101,101,,12,1.07251509760346e-005,1.07251509760346e-005,44___,101,97,52,56,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,62.95
1010,1010,,34,5.19615073149263e-005,5.19615073149263e-005,473___,1010,1009,507,508,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,517.2
1011,1011,,35,5.41395345676478e-005,5.41395345676478e-005,leiocalyx,1011,1010,507,507,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,516.7
1012,1012,,35,0.000188360464016608,0.000188360464016608,concurrens,1012,1010,508,508,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,517.7
1013,1013,,34,9.32093017814143e-005,9.32093017814143e-005,474___,1013,1009,509,510,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,519.2
1014,1014,,35,9.4180232008304e-005,9.4180232008304e-005,crassa,1014,1013,509,509,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,518.7
1015,1015,,35,0.00180826045455944,0.00180826045455944,grandifolia,1015,1013,510,510,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,519.7
102,102,,13,4.58949353949096e-005,4.58949353949096e-005,bivenosa,102,101,52,52,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,61.7
103,103,,13,1.28063771569365e-005,1.28063771569365e-005,43___,103,101,53,56,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,64.2
104,104,,14,1.32376314389417e-005,1.32376314389417e-005,41___,104,103,53,54,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,63.2
105,105,,15,0.00452065113639859,0.00452065113639859,didyma,105,104,53,53,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,62.7
