ELEMENT,Axis_0,COLOUR,DEPTH,LENGTH,LENGTHTOPARENT,NAME,NODE_NUMBER,PARENTNODE,TERMINAL_NODE_FIRST,TERMINAL_NODE_LAST,TOTAL_LENGTH,TREENAME,total_length_gui,_y
1,1,,1,0,0,507___,1,0,3,510,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0,32.0874798751203
10,10,,7,0.000181208192561113,0.000181208192561113,inaequilatera,10,9,6,6,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.0780123052120982,15.7
100,100,,13,0.000222121010922207,0.000222121010922207,tysonii,100,98,51,51,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.0971803487736769,60.7
1000,1000,,32,1.76319749156118e-005,1.76319749156118e-005,471___,1000,999,502,504,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.101945062575916,512.45
1001,1001,,33,0.00025058972917822,0.00025058972917822,auriculiformis,1001,1000,502,502,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.104343011164439,511.7
1002,1002,,33,0.000107403938466581,0.000107403938466581,470___,1002,1000,503,504,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.104343011164439,513.2
1003,1003,,34,3.40551100599807e-008,3.40551100599807e-008,mangium,1003,1002,503,503,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.108209552949236,512.7
1004,1004,,34,0.000227288482251522,0.000227288482251522,spirorbis,1004,1002,504,504,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.108209552949236,513.7
1005,1005,,32,3.32910026227253e-006,3.32910026227253e-006,476___,1005,999,505,510,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.101945062575916,516.7
1006,1006,,33,5.01355022271251e-005,5.01355022271251e-005,472___,1006,1005,505,506,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.102740717538599,515.2
1007,1007,,34,0.000530041849486283,0.000530041849486283,longispicata,1007,1006,505,505,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.107052370730132,514.7
1008,1008,,34,0.000725964178175564,0.000725964178175564,faucium,1008,1006,506,506,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.107052370730132,515.7
1009,1009,,33,4.02797849244872e-006,4.02797849244872e-006,475___,1009,1005,507,510,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.102740717538599,518.2
101,101,,12,3.07630203501718e-006,3.07630203501718e-006,44___,101,97,52,56,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.0897510508987435,62.95
1010,1010,,34,7.73028993785489e-006,7.73028993785489e-006,473___,1010,1009,507,508,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.103514089409149,517.2
1011,1011,,35,2.7683516920034e-005,2.7683516920034e-005,leiocalyx,1011,1010,507,507,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.104859159858336,516.7
1012,1012,,35,2.78470985331362e-005,2.78470985331362e-005,concurrens,1012,1010,508,508,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.104859159858336,517.7
1013,1013,,34,3.53195332806846e-005,3.53195332806846e-005,474___,1013,1009,509,510,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.103514089409149,519.2
1014,1014,,35,2.59637961599254e-005,2.59637961599254e-005,crassa,1014,1013,509,509,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.106940084137376,518.7
1015,1015,,35,0.00070156662156966,0.00070156662156966,grandifolia,1015,1013,510,510,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.106940084137376,519.7
102,102,,13,7.55381469853594e-005,7.55381469853594e-005,bivenosa,102,101,52,52,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.092344373514263,61.7
103,103,,13,1.0546888147214e-006,1.0546888147214e-006,43___,103,101,53,56,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.092344373514263,64.2
104,104,,14,1.04708244698002e-009,1.04708244698002e-009,41___,104,103,53,54,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.0930889838174563,63.2
105,105,,15,3.57578655643675e-007,3.57578655643675e-007,didyma,105,104,53,53,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.0930896989747676,62.7
106,106,,15,9.30004963332887e-006,9.30004963332887e-006,ligulata,106,104,54,54,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.0930896989747676,63.7
107,107,,14,1.50941185934267e-005,1.50941185934267e-005,42___,107,103,55,56,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.0930889838174563,65.2
108,108,,15,4.49253978216524e-005,4.49253978216524e-005,rostellifera,108,107,55,55,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.0938436897471276,64.7
109,109,,15,0.00046077285834365,0.00046077285834365,xanthina,109,107,56,56,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.0938436897471276,65.7
11,11,,7,0.000753921915035115,0.000753921915035115,marramamba,11,9,7,7,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.0780123052120982,16.7
110,110,,6,7.85170627631471e-006,7.85170627631471e-006,84___,110,64,57,91,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.0318560640154936,74.6140625
111,111,,7,2.91158313592693e-005,2.91158313592693e-005,59___,111,110,57,66,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.0360096166356641,69.153125
112,112,,8,0.000506926768811225,0.000506926768811225,52___,112,111,57,59,,acacia_tree_TRIMMED1__lca1__noknuckles1_RW1,0.0440164702594632,67.45
