ELEMENT,Axis_0,Axis_1,CANAPE_CODE,MIXED,NEO,PALAEO
-1025000:-1825000,-1025000,-1825000,0,0,0,0
-1025000:-1875000,-1025000,-1875000,0,0,0,0
-1025000:-1925000,-1025000,-1925000,0,0,0,0
-1025000:-1975000,-1025000,-1975000,0,0,0,0
-1025000:-2025000,-1025000,-2025000,0,0,0,0
-1025000:-2075000,-1025000,-2075000,0,0,0,0
-1025000:-2125000,-1025000,-2125000,0,0,0,0
-1025000:-2225000,-1025000,-2225000,0,0,0,0
-1025000:-2275000,-1025000,-2275000,0,0,0,0
-1025000:-2375000,-1025000,-2375000,0,0,0,0
-1025000:-2425000,-1025000,-2425000,0,0,0,0
-1025000:-2475000,-1025000,-2475000,0,0,0,0
-1025000:-2525000,-1025000,-2525000,0,0,0,0
-1025000:-2575000,-1025000,-2575000,0,0,0,0
-1025000:-2675000,-1025000,-2675000,0,0,0,0
-1025000:-2775000,-1025000,-2775000,0,0,0,0
-1025000:-2825000,-1025000,-2825000,0,0,0,0
-1025000:-2875000,-1025000,-2875000,0,0,0,0
-1025000:-2925000,-1025000,-2925000,0,0,0,0
-1025000:-3025000,-1025000,-3025000,0,0,0,0
-1025000:-3075000,-1025000,-3075000,0,0,0,0
-1025000:-3125000,-1025000,-3125000,0,0,0,0
-1025000:-3175000,-1025000,-3175000,0,0,0,0
-1025000:-3225000,-1025000,-3225000,0,0,0,0
-1025000:-3275000,-1025000,-3275000,0,0,0,0
-1025000:-3325000,-1025000,-3325000,0,0,0,0
-1025000:-3375000,-1025000,-3375000,0,0,0,0
-1025000:-3425000,-1025000,-3425000,0,0,0,0
-1025000:-3475000,-1025000,-3475000,0,0,0,0
-1025000:-3525000,-1025000,-3525000,0,0,0,0
-1025000:-3575000,-1025000,-3575000,3,1,0,0
-1025000:-3625000,-1025000,-3625000,3,1,0,0
-1025000:-3675000,-1025000,-3675000,3,1,0,0
-1025000:-3725000,-1025000,-3725000,3,1,0,0
-1075000:-2025000,-1075000,-2025000,0,0,0,0
-1075000:-2075000,-1075000,-2075000,0,0,0,0
-1075000:-2125000,-1075000,-2125000,0,0,0,0
-1075000:-2175000,-1075000,-2175000,3,1,0,0
-1075000:-2325000,-1075000,-2325000,0,0,0,0
-1075000:-2375000,-1075000,-2375000,3,1,0,0
-1075000:-2425000,-1075000,-2425000,0,0,0,0
-1075000:-2475000,-1075000,-2475000,0,0,0,0
-1075000:-2525000,-1075000,-2525000,0,0,0,0
-1075000:-2625000,-1075000,-2625000,0,0,0,0
-1075000:-2675000,-1075000,-2675000,0,0,0,0
-1075000:-2775000,-1075000,-2775000,0,0,0,0
-1075000:-2825000,-1075000,-2825000,3,1,0,0
-1075000:-2875000,-1075000,-2875000,0,0,0,0
-1075000:-2925000,-1075000,-2925000,0,0,0,0
-1075000:-2975000,-1075000,-2975000,0,0,0,0
-1075000:-3025000,-1075000,-3025000,0,0,0,0
-1075000:-3075000,-1075000,-3075000,0,0,0,0
-1075000:-3125000,-1075000,-3125000,0,0,0,0
-1075000:-3175000,-1075000,-3175000,0,0,0,0
-1075000:-3225000,-1075000,-3225000,0,0,0,0
-1075000:-3275000,-1075000,-3275000,0,0,0,0
-1075000:-3325000,-1075000,-3325000,0,0,0,0
-1075000:-3375000,-1075000,-3375000,0,0,0,0
-1075000:-3425000,-1075000,-3425000,0,0,0,0
-1075000:-3475000,-1075000,-3475000,0,0,0,0
-1075000:-3525000,-1075000,-3525000,0,0,0,0
-1075000:-3575000,-1075000,-3575000,0,0,0,0
-1075000:-3625000,-1075000,-3625000,3,1,0,0
-1075000:-3675000,-1075000,-3675000,3,1,0,0
-1075000:-3725000,-1075000,-3725000,3,1,0,0
-1075000:-3775000,-1075000,-3775000,3,1,0,0
-1125000:-2075000,-1125000,-2075000,0,0,0,0
-1125000:-2125000,-1125000,-2125000,0,0,0,0
-1125000:-2175000,-1125000,-2175000,0,0,0,0
-1125000:-2225000,-1125000,-2225000,0,0,0,0
-1125000:-2275000,-1125000,-2275000,0,0,0,0
-1125000:-2325000,-1125000,-2325000,0,0,0,0
-1125000:-2375000,-1125000,-2375000,3,1,0,0
-1125000:-2425000,-1125000,-2425000,0,0,0,0
-1125000:-2475000,-1125000,-2475000,0,0,0,0
