ELEMENT,Axis_0,Axis_1,C_PD,C_PD_P,C_PD_P_per_taxon,C_PD_per_taxon,C_PE_WE,C_PE_WE_P,C_PHYLO_RPD2,C_PHYLO_RPD_DIFF2,C_PHYLO_RPD_NULL2,C_PHYLO_RPE2,C_PHYLO_RPE_DIFF2,C_PHYLO_RPE_NULL2,P_PD,P_PD_P,P_PD_P_per_taxon,P_PD_per_taxon,P_PE_WE,P_PE_WE_P,P_PHYLO_RPD2,P_PHYLO_RPD_DIFF2,P_PHYLO_RPD_NULL2,P_PHYLO_RPE2,P_PHYLO_RPE_DIFF2,P_PHYLO_RPE_NULL2,Q_PD,Q_PD_P,Q_PD_P_per_taxon,Q_PD_per_taxon,Q_PE_WE,Q_PE_WE_P,Q_PHYLO_RPD2,Q_PHYLO_RPD_DIFF2,Q_PHYLO_RPD_NULL2,Q_PHYLO_RPE2,Q_PHYLO_RPE_DIFF2,Q_PHYLO_RPE_NULL2,SUMX_PD,SUMX_PD_P,SUMX_PD_P_per_taxon,SUMX_PD_per_taxon,SUMX_PE_WE,SUMX_PE_WE_P,SUMX_PHYLO_RPD2,SUMX_PHYLO_RPD_DIFF2,SUMX_PHYLO_RPD_NULL2,SUMX_PHYLO_RPE2,SUMX_PHYLO_RPE_DIFF2,SUMX_PHYLO_RPE_NULL2,SUMXX_PD,SUMXX_PD_P,SUMXX_PD_P_per_taxon,SUMXX_PD_per_taxon,SUMXX_PE_WE,SUMXX_PE_WE_P,SUMXX_PHYLO_RPD2,SUMXX_PHYLO_RPD_DIFF2,SUMXX_PHYLO_RPD_NULL2,SUMXX_PHYLO_RPE2,SUMXX_PHYLO_RPE_DIFF2,SUMXX_PHYLO_RPE_NULL2,T_PD,T_PD_P,T_PD_P_per_taxon,T_PD_per_taxon,T_PE_WE_P,T_PHYLO_RPD2,T_PHYLO_RPD_DIFF2,T_PHYLO_RPD_NULL2,T_PHYLO_RPE_DIFF2,T_PHYLO_RPE_NULL2
-1025000:-1825000,-1025000,-1825000,22,22,22,22,59,59,188,484,174,167,333,172,0.022022022022022,0.022022022022022,0.022022022022022,0.022022022022022,0.0590590590590591,0.0590590590590591,0.188188188188188,0.484484484484485,0.174174174174174,0.167167167167167,0.333333333333333,0.172172172172172,999,999,999,999,999,999,999,999,999,999,999,999,213.03834311687,23.216639504716,7.73887983490531,71.0127810389567,0.908133315425377,0.0989671788560952,569.968640906562,-172.746846802524,42.0423645320196,930.279992713127,-0.0467292716500859,0.104059673654662,46.8585403933771,0.55650865229701,0.0618342946996678,5.20650448815302,0.00232158516595329,2.75719691874996e-005,346.54069378426,35.653462178135,1.83143391006819,1267.69376326889,0.000921241732523078,1.78330856329177e-005,,,,,,,,26,,
-1025000:-1875000,-1025000,-1875000,43,43,43,43,167,167,612,838,1,428,494,106,0.043043043043043,0.043043043043043,0.043043043043043,0.043043043043043,0.167167167167167,0.167167167167167,0.612612612612613,0.838838838838839,0.001001001001001,0.428428428428428,0.494494494494495,0.106106106106106,999,999,999,999,999,999,999,999,999,999,999,999,466.987562274408,50.8916926778918,5.65463251976576,51.8875069193787,2.88699170507744,0.314620573410668,589.156553699028,-331.387895438234,87.0059113300494,991.036738892518,0.0665121605983612,0.307372165294553,223.243622117584,2.65132046870413,0.0327323514654831,2.75609410021709,0.0185888840874529,0.000220768183224842,357.491433272469,119.771870218947,7.6596520177631,1332.38225026382,0.00761630516439548,0.000115453046778005,,,,,,,,3,,
-1025000:-1925000,-1025000,-1925000,588,588,588,588,641,641,896,911,80,873,837,191,0.588588588588589,0.588588588588589,0.588588588588589,0.588588588588589,0.641641641641642,0.641641641641642,0.896896896896897,0.911911911911912,0.0800800800800801,0.873873873873874,0.837837837837838,0.191191191191191,999,999,999,999,999,999,999,999,999,999,999,999,345.293527119812,37.6296361733097,6.27160602888495,57.5489211866354,1.82688326684558,0.199091344792725,575.282361708164,-263.981824728608,66.3980295566502,939.50525581427,-0.0496716851392725,0.20450449995812,122.261055552825,1.45201567703397,0.0403337688064991,3.39614043202293,0.00789666786234177,9.37836294689635e-005,344.279984122278,78.4057502881128,4.49674003251718,1157.16662899094,0.00271054348671364,5.52179693178771e-005,,,,,,,,14,,
-1025000:-1975000,-1025000,-1975000,261,261,261,261,811,811,823,906,19,899,890,469,0.261261261261261,0.261261261261261,0.261261261261261,0.261261261261261,0.811811811811812,0.811811811811812,0.823823823823824,0.906906906906907,0.019019019019019,0.8998998998999,0.890890890890891,0.469469469469469,999,999,999,999,999,999,999,999,999,999,999,999,578.598333604697,63.0548883022451,5.25457402518709,48.2165278003914,3.68768437591655,0.401879011591168,600.103905207179,-390.235722189407,105.582266009852,964.329043936712,-0.0941380201793531,0.412138049688327,341.424304599487,4.05487618732912,0.0281588624120078,2.37100211527421,0.0214616962232108,0.000254886719494894,368.349041330462,163.492922067422,11.2583425950642,1092.16285392567,0.00454426282819283,0.000199853311070756,,,,,,,,6,,
-1025000:-2025000,-1025000,-2025000,462,462,462,462,260,260,951,968,7,620,635,77,0.462462462462462,0.462462462462462,0.462462462462462,0.462462462462462,0.26026026026026,0.26026026026026,0.951951951951952,0.968968968968969,0.00700700700700701,0.620620620620621,0.635635635635636,0.0770770770770771,999,999,999,999,999,999,999,999,999,999,999,999,389.075820121978,42.4009731000314,6.05728187143306,55.5822600174254,2.11981449491262,0.231014606221656,580.505007034162,-288.175039494913,73.8059113300493,948.76099360284,-0.0763294921981247,0.2393328942726,155.425801331896,1.84589196558972,0.0376712646038719,3.17195512922237,0.00855451088951433,0.000101596406678868,348.758752288172,91.9895665249065,5.53311072823899,1134.8082105335,0.00239168519590448,7.24715188174233e-005,,,,,,,,2,,
-1025000:-2075000,-1025000,-2075000,572,572,572,572,458,458,39,59,889,67,84,833,0.572572572572573,0.572572572572573,0.572572572572573,0.572572572572573,0.458458458458458,0.458458458458458,0.039039039039039,0.0590590590590591,0.88988988988989,0.0670670670670671,0.0840840840840841,0.833833833833834,999,999,999,999,999,999,999,999,999,999,999,999,100.611374547264,10.9644957746237,10.9644957746237,100.611374547264,0.284061480902697,0.0309566480043255,642.763212567221,-81.9795724403399,19.8985221674877,877.093263461759,-0.0253687714515603,0.0337213034783183,10.4527967542146,0.12414112316748,0.12414112316748,10.4527967542146,0.000403905746408743,4.79692796023832e-006,493.164699881841,10.7839921796611,0.454829770195831,1392.9907693779,0.000205196034094651,2.62532121108258e-006,1,1,1,1,,1,1,54,,
-1025000:-2125000,-1025000,-2125000,185,185,185,185,390,390,561,684,164,494,479,341,0.185185185185185,0.185185185185185,0.185185185185185,0.185185185185185,0.39039039039039,0.39039039039039,0.561561561561562,0.684684684684685,0.164164164164164,0.494494494494495,0.479479479479479,0.341341341341341,999,999,999,999,999,999,999,999,999,999,999,999,211.957259186461,23.0988243944431,7.69960813148105,70.6524197288203,0.88049065323561,0.0959547177487612,564.295504921539,-177.136753161881,42.4029556650245,884.05345897287,-0.119341056941873,0.108960349770652,46.2011917886971,0.548701747024061,0.0609668607804512,5.13346575429968,0.00162426997491315,1.92904065537896e-005,341.778988833458,37.3539979763675,1.86169331942052,1074.19456880305,0.000574320459783038,1.95783886667671e-005,,,,,,,,24,,
-1025000:-2225000,-1025000,-2225000,65,65,65,65,795,795,351,578,82,811,826,614,0.0650650650650651,0.0650650650650651,0.0650650650650651,0.0650650650650651,0.795795795795796,0.795795795795796,0.351351351351351,0.578578578578579,0.0820820820820821,0.811811811811812,0.826826826826827,0.614614614614615,999,999,999,999,999,999,999,999,999,999,999,999,503.556540075769,54.8769319650956,5.48769319650956,50.3556540075769,3.02583284830319,0.329751299286274,590.966673587466,-355.01959674716,93.5665024630543,962.376453354971,-0.0765663267539957,0.33809539725681,259.031851249585,3.07635417643697,0.0307635417643697,2.59031851249585,0.0157831715026094,0.000187446545030053,359.101806475795,136.999917644891,8.85829988594725,1123.87190686031,0.00394886925116968,0.000136637527720076,,,,,,,,22,,
-1025000:-2275000,-1025000,-2275000,745,745,745,745,722,722,782,781,242,677,673,556,0.745745745745746,0.745745745745746,0.745745745745746,0.745745745745746,0.722722722722723,0.722722722722723,0.782782782782783,0.781781781781782,0.242242242242242,0.677677677677678,0.673673673673674,0.556556556556557,999,999,999,999,999,999,999,999,999,999,999,999,100.851486684295,10.9906628807165,10.9906628807165,100.851486684295,0.30464640980337,0.0331999665850326,629.136670862125,-85.1567687135334,20.2709359605912,879.720398743836,-0.0324391393283943,0.0367351414864701,10.491266378462,0.124598002075029,0.124598002075029,10.491266378462,0.000419191393912623,4.97846573372549e-006,476.180700590378,11.1751384688168,0.468653934820063,1508.18244698213,0.000187770768109981,3.00461975844821e-006,2,2,2,2,,2,2,87,,
-1025000:-2375000,-1025000,-2375000,644,644,644,644,472,472,962,979,11,445,428,505,0.644644644644645,0.644644644644645,0.644644644644645,0.644644644644645,0.472472472472472,0.472472472472472,0.962962962962963,0.97997997997998,0.011011011011011,0.445445445445445,0.428428428428428,0.505505505505506,999,999,999,999,999,999,999,999,999,999,999,999,811.915574251102,88.4814954898116,4.65692081525324,42.7323986447949,6.02902644268391,0.657035402342593,621.626789588208,-497.618705743368,142.711330049261,1020.93146637546,0.256636864839729,0.629067453064391,669.208861991579,7.94776189709885,0.0220159609337919,1.85376416064149,0.055076030564796,0.000654102481344375,393.141489050539,262.70992262162,20.4887126598559,1225.18075885264,0.0121507277971891,0.000438949091913893,,,,,,,,3,,
