ELEMENT,Axis_0,Axis_1,PD,PD_P,PD_P_per_taxon,PD_per_taxon,PE_WE,PE_WE_P,PHYLO_RPD2,PHYLO_RPD_DIFF2,PHYLO_RPD_NULL2,PHYLO_RPE2,PHYLO_RPE_DIFF2,PHYLO_RPE_NULL2
-1025000:-1825000,-1025000,-1825000,0.145436110092997,0.0158494367239092,0.00528314557463638,0.0484787033643322,0.000231805323737194,2.52618404637519e-005,0.446866063187994,-0.180021833737955,0.0354679802955665,0.463889693627492,-0.000267893908475832,5.4456567608155e-005
-1025000:-1875000,-1025000,-1875000,0.360275842085292,0.0392623892280442,0.00436248769200491,0.040030649120588,0.00131027223300555,0.000142791751201524,0.603807955552498,-0.236397054938119,0.0650246305418719,0.802386310264359,-0.00032269709391861,0.000177958857690978
-1025000:-1925000,-1025000,-1925000,0.355422522983811,0.0387334808713048,0.00645558014521747,0.0592370871639686,0.00156785586049883,0.000170862877433236,0.714808783352262,-0.141804891202364,0.0541871921182266,1.38134666148569,0.000432836024990961,0.000123692974542297
-1025000:-1975000,-1025000,-1975000,0.527258555140348,0.057459946511861,0.00478832887598842,0.0439382129283623,0.00484352655458918,0.000527841177809607,0.678160996622546,-0.250224310678036,0.0847290640394089,1.45666341446742,0.00151844369297284,0.000362363173652297
-1025000:-2025000,-1025000,-2025000,0.38000363733736,0.0414122985067643,0.00591604264382347,0.0542862339053371,0.0011384029397426,0.00012406166080917,0.764245145170286,-0.117223776848816,0.0541871921182266,0.958052954730441,-4.9843424011794e-005,0.000129493531851876
-1025000:-2075000,-1025000,-2075000,0.101883505821594,0.0111031309741221,0.0111031309741221,0.101883505821594,0.000113874697583573,1.24099153411835e-005,0.37565593129113,-0.169331447370866,0.0295566502463054,0.268246682598906,-0.000310640142563931,4.62630710693236e-005
-1025000:-2125000,-1025000,-2125000,0.180994377114216,0.0197245300745516,0.00657484335818388,0.0603314590380719,0.000479014023432664,5.22023206575486e-005,0.55612216737972,-0.144463566716736,0.0354679802955665,0.744986411313118,-0.000163969548023828,7.00715071641863e-005
-1025000:-2225000,-1025000,-2225000,0.404282036674449,0.0440581266563548,0.00440581266563548,0.0404282036674449,0.00393134718895935,0.000428433065703466,0.545353640929269,-0.33703883538494,0.0807881773399015,1.26939061782299,0.000834312175653822,0.000337510817937373
-1025000:-2275000,-1025000,-2275000,0.108185027255204,0.0117898625235461,0.0117898625235461,0.108185027255204,0.000251432942437559,2.74008326331212e-005,0.797780697426621,-0.0274224493410253,0.0147783251231527,0.975668291389089,-6.27036170445234e-006,2.80841684360879e-005
-1025000:-2375000,-1025000,-2375000,0.843135751880999,0.0918838295424609,0.00483599102855057,0.0443755658884737,0.00488267378499249,0.00053210739168728,0.777184058213315,-0.241724060888838,0.118226600985222,0.890602883716447,-0.000599762746783944,0.000597468750007656
-1025000:-2425000,-1025000,-2425000,0.260579411761194,0.0283976028760782,0.00567952057521564,0.0521158823522387,0.00115770130963406,0.000126164771874735,0.514706552128918,-0.245688500864731,0.0551724137931034,1.05391113932562,5.92203595466986e-005,0.00011971101468333
-1025000:-2475000,-1025000,-2475000,0.810592402145552,0.0883372979274018,0.00490762766263344,0.0450329112303084,0.00384593128453663,0.000419124552353531,0.793472189347901,-0.210983921546045,0.111330049261084,1.27011073025448,0.000817902945805834,0.000329990560956488
-1025000:-2525000,-1025000,-2525000,0.458375913112909,0.0499532064354696,0.00555035627060773,0.0509306570125455,0.00228500482124536,0.000249016831548905,0.685168980162184,-0.21062097142849,0.0729064039408867,1.07853276207075,0.000166381352767476,0.000230884809721312
-1025000:-2575000,-1025000,-2575000,0.0830254998733099,0.00904801019410873,0.00904801019410873,0.0830254998733099,0.000215089970823385,2.34402232040781e-005,1.02041448300226,0.00166101391557207,0.00886699507389163,1.56547946078936,7.76943829471118e-005,1.49731911476238e-005
-1025000:-2675000,-1025000,-2675000,0.162594593382907,0.01771934575137,0.00885967287568502,0.0812972966914535,0.00037090191207602,4.04204044130914e-005,0.946586101981084,-0.00917487697231722,0.0187192118226601,1.36212638921443,9.86056589434983e-005,2.96744888970272e-005
-1025000:-2775000,-1025000,-2775000,0.258219382070201,0.0281404099325237,0.00938013664417458,0.0860731273567338,0.000587763448620347,6.4053690528288e-005,0.634722579589147,-0.148603047718488,0.0443349753694581,0.982234415265726,-1.06308241575399e-005,6.52122238162052e-005
-1025000:-2825000,-1025000,-2825000,0.275964547727844,0.0300742548357342,0.00501237580595569,0.045994091287974,0.00110353758746004,0.000120262080398873,0.508756144304503,-0.266465358657075,0.0591133004926108,0.701907888173191,-0.00046865957124713,0.000171335986423904
-1025000:-2875000,-1025000,-2875000,0.445309944161132,0.0485292942584639,0.00373302263526646,0.0342546110893179,0.0018096497828056,0.00019721326228179,0.586395638956439,-0.314091924777754,0.0827586206896552,0.707802481201391,-0.000747066011315361,0.000278627537370382
-1025000:-2925000,-1025000,-2925000,0.458061608026233,0.0499189538789339,0.00453808671626672,0.0416419643660211,0.00134674878575979,0.00014676691812819,0.64136377452048,-0.256137768713911,0.0778325123152709,0.726480034335814,-0.000507051349285982,0.000202024709822028
-1025000:-3025000,-1025000,-3025000,0.0976152526165279,0.010637982332206,0.010637982332206,0.0976152526165279,0.000189004066631202,2.05974155436175e-005,0.719836804479274,-0.0379922239797018,0.0147783251231527,0.781283805291319,-5.29106708190741e-005,2.63635511245971e-005
-1025000:-3075000,-1025000,-3075000,0.270985232030916,0.0295316155351068,0.0049219359225178,0.045164205338486,0.000667003964542661,7.26892181305978e-005,0.535260531573811,-0.235282680595008,0.0551724137931034,0.820203010554818,-0.000146214172868799,8.86234471163766e-005
