"NAME","ELEMENT.x","Axis_0.x","COLOUR.x","DEPTH.x","branch_length_observed_tree","LENGTHTOPARENT.x","NODE_NUMBER.x","PARENTNODE.x","TERMINAL_NODE_FIRST.x","TERMINAL_NODE_LAST.x","TOTAL_LENGTH.x","TREENAME.x","total_length_gui","X_y.x","ELEMENT.y","Axis_0.y","COLOUR.y","DEPTH.y","branch_length_comparison_tree","LENGTHTOPARENT.y","NODE_NUMBER.y","PARENTNODE.y","TERMINAL_NODE_FIRST.y","TERMINAL_NODE_LAST.y","TOTAL_LENGTH.y","TREENAME.y","X_y.y","rank_comparison_tree","sorted_asc_bl_comparison_tree","rwibald_score","rwibald_score_rank","bl_comparison_tree_rwibald_elbow_key","rwibald_type","range_cell_count","non_range_weighted_branch_length_observed_tree","non_range_weighted_branch_length_comparison_tree","diff_non_range_weighted_observed_to_comparison_bl","rank_BaLD"
"1___",9,9,NA,6,0.000223481157472585,0.000223481157472585,9,7,6,7,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0549937459924219,16.2,9,9,NA,6,8.77796337164775e-05,8.77796337164775e-05,9,7,6,7,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",16.2,575,440,0.000135701523756108,829,"not_key","other",103,0.0230185592196763,0.00904130227279718,0.0139772569468791,920
"10___",28,28,NA,7,3.58368935590084e-05,3.58368935590084e-05,28,26,16,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0466944748890538,26.45,28,28,NA,7,8.95178442851206e-05,8.95178442851206e-05,28,26,16,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",26.45,570,442,-5.36809507261122e-05,334,"not_key","other",101,0.00361952624945985,0.00904130227279718,-0.00542177602333733,421
"100___",219,219,NA,13,7.23950785667127e-06,7.23950785667127e-06,219,217,111,113,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0838976225564979,121.45,219,219,NA,13,4.10968285127145e-05,4.10968285127145e-05,219,217,111,113,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",121.45,774,242,-3.38573206560432e-05,419,"not_key","other",220,0.00159269172846768,0.00904130227279719,-0.00744861054432951,220
"101___",217,217,NA,12,3.36101100592212e-05,3.36101100592212e-05,217,215,110,113,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0710585605138754,120.575,217,217,NA,12,2.36683305570607e-05,2.36683305570607e-05,217,215,110,113,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",120.575,875,140,9.9417795021605e-06,713,"not_key","other",382,0.0128390620426225,0.00904130227279719,0.00379775976982531,776
"102___",215,215,NA,11,1.88426195550903e-05,1.88426195550903e-05,215,213,109,113,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0637099388873902,119.6375,215,215,NA,11,2.31828263405056e-05,2.31828263405056e-05,215,213,109,113,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",119.6375,881,135,-4.3402067854153e-06,635,"not_key","other",390,0.00734862162648522,0.00904130227279718,-0.00169268064631197,634
"103___",213,213,NA,10,4.69700651701024e-05,4.69700651701024e-05,213,212,108,113,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0438416013204369,118.66875,213,213,NA,10,2.137423705153e-05,2.137423705153e-05,213,212,108,113,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",118.66875,894,122,2.55958281185724e-05,743,"not_key","other",423,0.0198683375669533,0.00904130227279719,0.0108270352941561,895
"104___",226,226,NA,12,0.000913702684783956,0.000913702684783956,226,225,114,115,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0647511919404167,124.2,226,226,NA,12,0.000231828263405056,0.000231828263405056,226,225,114,115,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",124.2,381,632,0.0006818744213789,923,"not_key","other",39,0.0356344047065743,0.00904130227279718,0.0265931024337771,975
"105___",230,230,NA,13,0.00162492117878131,0.00162492117878131,230,229,116,117,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0679067911373228,126.2,230,230,NA,13,0.000602753484853146,0.000602753484853146,230,229,116,117,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",126.2,196,806,0.00102216769392816,944,"not_key","other",15,0.0243738176817196,0.00904130227279719,0.0153325154089225,929
"106___",235,235,NA,14,0.000105749278747088,0.000105749278747088,235,233,119,120,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.100173650517627,129.2,235,235,NA,14,0.000153242411403342,0.000153242411403342,235,233,119,120,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",129.2,455,559,-4.7493132656254e-05,361,"not_key","other",59,0.00623920744607819,0.00904130227279718,-0.00280209482671899,590
"107___",233,233,NA,13,0.000354580872311032,0.000354580872311032,233,229,118,120,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0679067911373228,128.45,233,233,NA,13,9.93549700307383e-05,9.93549700307383e-05,233,229,118,120,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",128.45,551,464,0.000255225902280294,871,"not_key","other",91,0.0322668593803039,0.00904130227279719,0.0232255571075067,965
"108___",229,229,NA,12,3.42999912707189e-05,3.42999912707189e-05,229,225,116,120,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0647511919404167,127.325,229,229,NA,12,9.82750247043172e-05,9.82750247043172e-05,229,225,116,120,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",127.325,553,460,-6.39750334335983e-05,306,"not_key","other",92,0.00315559919690614,0.00904130227279718,-0.00588570307589104,384
"109___",225,225,NA,11,0.000113009812809228,0.000113009812809228,225,224,114,120,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0526591419698293,125.7625,225,225,NA,11,8.44981520822167e-05,8.44981520822167e-05,225,224,114,120,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",125.7625,586,427,2.85116607270113e-05,747,"not_key","other",107,0.0120920499705874,0.00904130227279719,0.00305074769779021,758
"11___",26,26,NA,6,2.89611774264025e-05,2.89611774264025e-05,26,24,15,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0437114736141344,25.575,26,26,NA,6,8.77796337164775e-05,8.77796337164775e-05,26,24,15,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",25.575,575,438,-5.8818456290075e-05,318,"not_key","other",103,0.00298300127491946,0.00904130227279718,-0.00605830099787773,363
"110___",239,239,NA,12,9.02948032223132e-06,9.02948032223132e-06,239,238,121,122,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0570952946565334,131.2,239,239,NA,12,1.89148583112912e-05,1.89148583112912e-05,239,238,121,122,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",131.2,907,108,-9.88537798905988e-06,572,"not_key","other",478,0.00431609159402657,0.00904130227279719,-0.00472521067877062,479
"111___",243,243,NA,13,0.00134308293647173,0.00134308293647173,243,242,123,124,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0594071538885539,133.2,243,243,NA,13,0.000753441856066432,0.000753441856066432,243,242,123,124,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",133.2,159,848,0.000589641080405298,911,"not_key","other",12,0.0161169952376608,0.00904130227279719,0.00707569296486358,845
"112___",255,255,NA,18,4.34211265641221e-05,4.34211265641221e-05,255,254,129,130,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0747551440179283,139.2,255,255,NA,18,0.00016145182629995,0.00016145182629995,255,254,129,130,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",139.2,445,571,-0.000118030699735828,222,"not_key","other",56,0.00243158308759084,0.0090413022727972,-0.00660971918520636,313
"113___",258,258,NA,18,0.000120803307405499,0.000120803307405499,258,254,131,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0747551440179283,141.2,258,258,NA,18,0.000105131421776711,0.000105131421776711,258,254,131,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",141.2,529,485,1.5671885628788e-05,726,"not_key","other",86,0.0103890844368729,0.00904130227279715,0.00134778216407577,726
"114___",254,254,NA,17,6.94327486713696e-09,6.94327486713696e-09,254,252,129,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.074754428860617,140.2,254,254,NA,17,8.77796337164775e-05,8.77796337164775e-05,254,252,129,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",140.2,575,437,-8.77726904416104e-05,252,"not_key","other",103,7.15157311315107e-07,0.00904130227279718,-0.00904058711548587,75
"115___",252,252,NA,16,9.88597543445835e-06,9.88597543445835e-06,252,250,128,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0736175416856543,138.95,252,252,NA,16,7.86200197634538e-05,7.86200197634538e-05,252,250,128,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",138.95,609,404,-6.87340443289955e-05,295,"not_key","other",115,0.00113688717496271,0.00904130227279719,-0.00790441509783448,176
"116___",250,250,NA,15,1.3469529727109e-05,1.3469529727109e-05,250,248,127,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0719203809400386,137.825,250,250,NA,15,7.17563672444221e-05,7.17563672444221e-05,250,248,127,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",137.825,636,379,-5.82868375173131e-05,321,"not_key","other",126,0.00169716074561573,0.00904130227279718,-0.00734414152718145,240
"117___",248,248,NA,14,4.08333995728126e-05,4.08333995728126e-05,248,246,126,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0666528723951457,136.7625,248,248,NA,14,7.00876145178076e-05,7.00876145178076e-05,248,246,126,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",136.7625,639,375,-2.9254214944995e-05,441,"not_key","other",129,0.00526750854489283,0.00904130227279718,-0.00377379372790436,538
"118___",246,246,NA,13,5.61683605162156e-05,5.61683605162156e-05,246,242,125,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0594071538885539,135.73125,246,246,NA,13,7.00876145178076e-05,7.00876145178076e-05,246,242,125,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",135.73125,639,374,-1.3919254001592e-05,545,"not_key","other",129,0.00724571850659181,0.00904130227279718,-0.00179558376620537,630
"119___",242,242,NA,12,1.77835325540044e-05,1.77835325540044e-05,242,238,123,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0570952946565334,134.465625,242,242,NA,12,6.95484790215168e-05,6.95484790215168e-05,242,238,123,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",134.465625,643,372,-5.17649464675124e-05,341,"not_key","other",130,0.00231185923202057,0.00904130227279718,-0.00672944304077661,304
"12___",24,24,NA,5,1.0977840110273e-05,1.0977840110273e-05,24,22,14,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0362794758594795,24.6375,24,24,NA,5,1.33549516584892e-05,1.33549516584892e-05,24,22,14,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",24.6375,936,80,-2.3771115482162e-06,664,"not_key","other",677,0.00743199775465482,0.00904130227279719,-0.00160930451814237,638
"120___",238,238,NA,11,7.83772559488348e-06,7.83772559488348e-06,238,224,121,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0526591419698293,132.8328125,238,238,NA,11,1.5974032284094e-05,1.5974032284094e-05,238,224,121,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",132.8328125,923,93,-8.13630668921052e-06,591,"not_key","other",566,0.00443615268670405,0.0090413022727972,-0.00460514958609316,486
"121___",224,224,NA,10,1.46714486678742e-05,1.46714486678742e-05,224,212,114,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0438416013204369,129.29765625,224,224,NA,10,1.50437641810269e-05,1.50437641810269e-05,224,212,114,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",129.29765625,928,87,-3.72315513152701e-07,684,"not_key","other",601,0.00881754064939239,0.00904130227279717,-0.000223761623404773,677
"122___",212,212,NA,9,4.10007849813983e-06,4.10007849813983e-06,212,208,108,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.040090029494639,123.983203125,212,212,NA,9,9.8812046697237e-06,9.8812046697237e-06,212,208,108,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",123.983203125,960,56,-5.78112617158387e-06,618,"not_key","other",915,0.00375157182579794,0.00904130227279719,-0.00528973044699924,433
