"Species","Longitude","Latitude","taxa","x_metres_EPSG_3577_Albers_Equal_Area","y_metres_EPSG_3577_Albers_Equal_Area"
"abbreviata",129.8,-20,"abbreviata",-229158.2385,-2146071.81
"abbreviata",129.29111,-24.65667,"abbreviata",-271133.2459,-2666980.017
"abbreviata",129.16667,-23.4,"abbreviata",-286706.1618,-2526605.27
"abbreviata",129.38333,-23.3,"abbreviata",-265014.5036,-2514954.201
"abbreviata",129.75,-20.53333,"abbreviata",-233320.7011,-2205500.168
"abbreviata",129.65,-20.03333,"abbreviata",-244712.7757,-2150056.29
"abbreviata",129.74167,-20.025,"abbreviata",-235184.2855,-2148957.801
"abbreviata",129.73333,-20.01667,"abbreviata",-236069.1651,-2148046.879
"abbreviata",129.6,-20,"abbreviata",-249988.4571,-2146446.859
"abbreviata",129.6,-20,"abbreviata",-249988.4571,-2146446.859
"abbreviata",129.66667,-20,"abbreviata",-243044.7693,-2146318.213
"abbreviata",129.6667,-20,"abbreviata",-243041.6447,-2146318.156
"abbreviata",129.70833,-19.99167,"abbreviata",-238722.4588,-2145313.415
"abbreviata",129.65,-19.98333,"abbreviata",-244815.0574,-2144496.458
"abbreviata",129.66667,-19.98333,"abbreviata",-243078.6269,-2144464.627
"abbreviata",129.68333,-19.98333,"abbreviata",-241343.2339,-2144433.042
"abbreviata",129.68333,-19.98333,"abbreviata",-241343.2339,-2144433.042
"abbreviata",129.68333,-19.98333,"abbreviata",-241343.2339,-2144433.042
"abbreviata",129.68333,-19.98333,"abbreviata",-241343.2339,-2144433.042
"abbreviata",129.68333,-19.98333,"abbreviata",-241343.2339,-2144433.042
"abbreviata",129.68333,-19.98333,"abbreviata",-241343.2339,-2144433.042
"abbreviata",129.68333,-19.98333,"abbreviata",-241343.2339,-2144433.042
"abbreviata",129.7,-19.98333,"abbreviata",-239606.7952,-2144401.664
"abbreviata",129.7,-19.98333,"abbreviata",-239606.7952,-2144401.664
"abbreviata",129.71667,-19.98333,"abbreviata",-237870.3524,-2144370.512
"abbreviata",129.71667,-19.98333,"abbreviata",-237870.3524,-2144370.512
"abbreviata",129.71667,-19.98333,"abbreviata",-237870.3524,-2144370.512
"abbreviata",129.71667,-19.98333,"abbreviata",-237870.3524,-2144370.512
"abbreviata",129.71667,-19.98333,"abbreviata",-237870.3524,-2144370.512
"abbreviata",129.71667,-19.98333,"abbreviata",-237870.3524,-2144370.512
"abbreviata",129.71667,-19.98333,"abbreviata",-237870.3524,-2144370.512
"abbreviata",129.675,-19.975,"abbreviata",-242227.7888,-2143522.593
