"Species","Longitude","Latitude","taxa","x_metres_EPSG_3577_Albers_Equal_Area","y_metres_EPSG_3577_Albers_Equal_Area"
"acrionastes",151.2,-29.4,"acrionastes",1835005.88,-3334193.39
"acrionastes",151.25,-29.38333,"acrionastes",1840028.992,-3333064.204
"acrionastes",151.25,-29.38333,"acrionastes",1840028.992,-3333064.204
"acrionastes",151.25,-29.38333,"acrionastes",1840028.992,-3333064.204
"acrionastes",151.25,-29.38333,"acrionastes",1840028.992,-3333064.204
"acrionastes",151.25,-29.38333,"acrionastes",1840028.992,-3333064.204
"acrionastes",152.6,-28.4,"acrionastes",1985694.679,-3244318.022
"acrionastes",152.70833,-28.34167,"acrionastes",1997101.587,-3239548.358
"acrionastes",152.70833,-28.325,"acrionastes",1997403.39,-3237702.782
"acrionastes",152.70833,-28.325,"acrionastes",1997403.39,-3237702.782
"acrionastes",152.7667,-28.3167,"acrionastes",2003134.501,-3237697.8
"acrionastes",152.71667,-28.31667,"acrionastes",1998351.627,-3236910.974
"acrionastes",152.69167,-28.30833,"acrionastes",1996112.109,-3235596.795
"acrionastes",152.74167,-28.30833,"acrionastes",2000893.174,-3236378.953
"acrionastes",152.75833,-28.275,"acrionastes",2003091.029,-3232950.154
"acrionastes",152.73167,-28.26028,"acrionastes",2000807.887,-3230902.763
"acrionastes",152.6683,-28.2256,"acrionastes",1995372.268,-3226072.068
"acrionastes",152.66833,-28.22556,"acrionastes",1995375.862,-3226068.107
"acrionastes",152.675,-28.225,"acrionastes",1996024.294,-3226110.298
"acrionastes",152.74167,-28.225,"acrionastes",2002404.248,-3227153.598
"acrionastes",152.71667,-28.21667,"acrionastes",2000162.822,-3225839.752
"acrionastes",152.73333,-28.21667,"acrionastes",2001757.179,-3226100.687
"acrionastes",152.725,-28.20833,"acrionastes",2001111.119,-3225046.858
"acrionastes",152.725,-28.20833,"acrionastes",2001111.119,-3225046.858
"acrionastes",152.725,-28.20833,"acrionastes",2001111.119,-3225046.858
"acrionastes",152.725,-28.20833,"acrionastes",2001111.119,-3225046.858
"acrionastes",152.725,-28.20833,"acrionastes",2001111.119,-3225046.858
"acrionastes",152.725,-28.20833,"acrionastes",2001111.119,-3225046.858
"acrionastes",152.71667,-28.2,"acrionastes",2000464.75,-3223994.166
"acrionastes",152.5,-28.0833,"acrionastes",1981815.055,-3207695.164
"acrionastes",152.9167,-28.0833,"acrionastes",2021742.117,-3214224.355
"acrionastes",152.54167,-28.025,"acrionastes",1986855.823,-3201886.125
"acrionastes",152.61667,-28.01667,"acrionastes",1994197.251,-3202132.263
"acrionastes",152.61667,-28.01667,"acrionastes",1994197.251,-3202132.263
"acrionastes",152.61667,-28.01667,"acrionastes",1994197.251,-3202132.263
"acrionastes",152.61667,-28.01667,"acrionastes",1994197.251,-3202132.263
"acrionastes",152.65,-28.01667,"acrionastes",1997393.073,-3202652.943
"acrionastes",152.98333,-28.01667,"acrionastes",2029346.658,-3207906.068
"acrionastes",152.61917,-28.00083,"acrionastes",1994722.527,-3200417.348
"acrionastes",152.61917,-28.00083,"acrionastes",1994722.527,-3200417.348
"acrionastes",152.61889,-28.00056,"acrionastes",1994700.543,-3200383.08
"acrionastes",152.61889,-28.00056,"acrionastes",1994700.543,-3200383.08
"acrionastes",152.61889,-28.00056,"acrionastes",1994700.543,-3200383.08
"acrionastes",152.61889,-28.00056,"acrionastes",1994700.543,-3200383.08
"acrionastes",152.6,-28,"acrionastes",1992899.057,-3200026.267
"acrionastes",152.6,-28,"acrionastes",1992899.057,-3200026.267
"acrionastes",152.6,-28,"acrionastes",1992899.057,-3200026.267
"acrionastes",152.61667,-28,"acrionastes",1994497.739,-3200286.412
"acrionastes",152.61667,-28,"acrionastes",1994497.739,-3200286.412
"acrionastes",152.61667,-28,"acrionastes",1994497.739,-3200286.412
"acrionastes",152.61667,-28,"acrionastes",1994497.739,-3200286.412
"acrionastes",152.61667,-28,"acrionastes",1994497.739,-3200286.412
"acrionastes",152.61667,-28,"acrionastes",1994497.739,-3200286.412
"acrionastes",152.6167,-28,"acrionastes",1994500.616,-3200286.88
"acrionastes",152.6167,-28,"acrionastes",1994500.616,-3200286.88
"acrionastes",152.6167,-28,"acrionastes",1994500.616,-3200286.88
"acrionastes",152.6167,-28,"acrionastes",1994500.616,-3200286.88
"acrionastes",152.6167,-28,"acrionastes",1994500.616,-3200286.88
"acrionastes",152.617,-28,"acrionastes",1994529.386,-3200291.564
"acrionastes",152.96667,-28,"acrionastes",2028055.472,-3205796.513
"acrionastes",152.9667,-28,"acrionastes",2028058.348,-3205796.989
"acrionastes",152.6125,-27.9958,"acrionastes",1994173.525,-3199756.253
"acrionastes",152.61917,-27.98639,"acrionastes",1994982.85,-3198818.426
"acrionastes",152.62083,-27.98417,"acrionastes",1995182.089,-3198598.532
"acrionastes",152.61889,-27.98306,"acrionastes",1995016.027,-3198445.327
"acrionastes",150.3667,-23.5167,"acrionastes",1850421.995,-2669723.239
"acrionastes",150.3667,-23.5167,"acrionastes",1850421.995,-2669723.239
"acrionastes",150.3667,-23.45,"acrionastes",1851491.097,-2662338.046
"acrionastes",150.3667,-23.45,"acrionastes",1851491.097,-2662338.046
"adnata",116.0167,-29.8667,"adnata",-1522814.102,-3343759.059
"adnata",115.25333,-29.20972,"adnata",-1604766.437,-3280034.874
"adnata",115.07583,-28.96833,"adnata",-1625252.597,-3255439.116
"adnata",115.07583,-28.96833,"adnata",-1625252.597,-3255439.116
"adnata",115.07583,-28.96833,"adnata",-1625252.597,-3255439.116
"adnata",115.06667,-28.96667,"adnata",-1626151.696,-3255371.116
"adnata",114.66667,-28.7,"adnata",-1668377.43,-3230884.835
"adnata",114.93333,-28.7,"adnata",-1642864.789,-3227429.116
"adnata",115.41667,-28.61667,"adnata",-1597813.125,-3212032.196
"adnata",115.41667,-28.61667,"adnata",-1597813.125,-3212032.196
"adnata",114.6167,-28.35,"adnata",-1678483.356,-3192638.626
"adnata",114.63333,-28.18333,"adnata",-1679421.395,-3173895.036
"amyctica",120.8,-33.2,"amyctica",-1035836.359,-3666902.729
"amyctica",121.2,-33,"amyctica",-1000818.155,-3641458.813
"amyctica",121.2,-33,"amyctica",-1000818.155,-3641458.813
"amyctica",121.6,-33,"amyctica",-963834.3125,-3638383.173
"amyctica",121.15,-32.9892,"amyctica",-1005542.794,-3640649.272
"amyctica",121.58333,-32.88333,"amyctica",-966437.4112,-3625517.785
"amyctica",121.6,-32.8,"amyctica",-965651.3759,-3616111.315
"aprica",116.01667,-29.88333,"aprica",-1522584.291,-3345609.32
"aprica",116.015,-29.882,"aprica",-1522761.154,-3345481.277
"aprica",116.01667,-29.86667,"aprica",-1522817.365,-3343756.079
"aprica",116.01667,-29.85,"aprica",-1523050.581,-3341901.706
"aprica",116.0167,-29.85,"aprica",-1523047.737,-3341901.348
"aprica",116.0167,-29.85,"aprica",-1523047.737,-3341901.348
"aprica",116,-29.83333,"aprica",-1524864.215,-3340246.18
"aprica",116,-29.8333,"aprica",-1524864.635,-3340242.843
"aprica",116,-29.8333,"aprica",-1524864.635,-3340242.843
"aprica",116.01667,-29.825,"aprica",-1523400.339,-3339120.666
"aprica",115.98333,-29.81667,"aprica",-1526678.169,-3338592.014
"aprica",116,-29.8,"aprica",-1525331.002,-3336538.511
"aprica",116,-29.8,"aprica",-1525331.002,-3336538.511
"aprica",116,-29.8,"aprica",-1525331.002,-3336538.511
"aprica",116,-29.8,"aprica",-1525331.002,-3336538.511
"aprica",116,-29.8,"aprica",-1525331.002,-3336538.511
"araneosa",138.50833,-31.79167,"araneosa",610453.994,-3479573.526
"araneosa",139.31667,-30.55,"araneosa",694153.953,-3344849.35
"araneosa",139.30833,-30.54167,"araneosa",693416.9461,-3343872.135
"araneosa",139.3,-30.53333,"araneosa",692680.8267,-3342893.893
"araneosa",139.3,-30.53333,"araneosa",692680.8267,-3342893.893
"araneosa",139.3,-30.53333,"araneosa",692680.8267,-3342893.893
"araneosa",139.3,-30.53333,"araneosa",692680.8267,-3342893.893
"araneosa",139.3,-30.53333,"araneosa",692680.8267,-3342893.893
"araneosa",139.3,-30.53333,"araneosa",692680.8267,-3342893.893
"araneosa",139.3,-30.53333,"araneosa",692680.8267,-3342893.893
"araneosa",139.3,-30.53333,"araneosa",692680.8267,-3342893.893
"araneosa",139.3,-30.53333,"araneosa",692680.8267,-3342893.893
"araneosa",139.3,-30.5333,"araneosa",692681.0187,-3342890.536
"araneosa",139.3,-30.5333,"araneosa",692681.0187,-3342890.536
"araneosa",139.3,-30.5333,"araneosa",692681.0187,-3342890.536
"araneosa",139.3,-30.533,"araneosa",692682.9386,-3342856.973
"araneosa",139.3,-30.5167,"araneosa",692787.2541,-3341033.356
"araneosa",139.3,-30.5167,"araneosa",692787.2541,-3341033.356
"araneosa",139.31667,-30.51667,"araneosa",694367.7409,-3341120.5
"araneosa",139.3625,-30.44333,"araneosa",699185.6932,-3333165.136
"araneosa",139.31667,-30.43722,"araneosa",694877.3793,-3332231.477
"araneosa",139.32778,-30.43722,"araneosa",695931.3597,-3332291.951
"araneosa",139.35833,-30.40833,"araneosa",699015.9208,-3329226.36
"araneosa",139.31667,-30.4,"araneosa",695116.1415,-3328067.029
"araneosa",139.35,-30.4,"araneosa",698279.1531,-3328248.789
"araneosa",139.35,-30.4,"araneosa",698279.1531,-3328248.789
"araneosa",139.35,-30.4,"araneosa",698279.1531,-3328248.789
"araneosa",139.35,-30.4,"araneosa",698279.1531,-3328248.789
"araneosa",139.35,-30.4,"araneosa",698279.1531,-3328248.789
"araneosa",139.35,-30.4,"araneosa",698279.1531,-3328248.789
"araneosa",139.4,-30.4,"araneosa",703024.0558,-3328523.005
"araneosa",139.33333,-30.39167,"araneosa",696750.7373,-3327225.747
"araneosa",139.35778,-30.38444,"araneosa",699117.845,-3326550.363
"araneosa",139.35,-30.38333,"araneosa",698386.5782,-3326383.614
"araneosa",139.35,-30.38333,"araneosa",698386.5782,-3326383.614
"araneosa",139.35,-30.38333,"araneosa",698386.5782,-3326383.614
"araneosa",139.36667,-30.38333,"araneosa",699968.7841,-3326474.845
"araneosa",139.38333,-30.38333,"araneosa",701550.0289,-3326566.228
"araneosa",139.38333,-30.38333,"araneosa",701550.0289,-3326566.228
"araneosa",139.35361,-30.37778,"araneosa",698764.9998,-3325782.37
"araneosa",139.35361,-30.37778,"araneosa",698764.9998,-3325782.37
"araneosa",139.35,-30.375,"araneosa",698440.2591,-3325451.577
