"Species","Longitude","Latitude","taxa","x_metres_EPSG_3577_Albers_Equal_Area","y_metres_EPSG_3577_Albers_Equal_Area"
"adinophylla",119.72278,-30.42417,"adinophylla",-1164972.938,-3366885.014
"adinophylla",119.61667,-30.41667,"adinophylla",-1175091.537,-3367020.186
"adinophylla",119.6,-30.4,"adinophylla",-1176849.483,-3365314.171
"adinophylla",119.6,-30.4,"adinophylla",-1176849.483,-3365314.171
"adinophylla",119.6,-30.4,"adinophylla",-1176849.483,-3365314.171
"adinophylla",119.6,-30.4,"adinophylla",-1176849.483,-3365314.171
"adinophylla",119.6,-30.4,"adinophylla",-1176849.483,-3365314.171
"adinophylla",119.6,-30.4,"adinophylla",-1176849.483,-3365314.171
"adinophylla",119.6,-30.4,"adinophylla",-1176849.483,-3365314.171
"adinophylla",119.6,-30.4,"adinophylla",-1176849.483,-3365314.171
"adinophylla",119.6,-30.4,"adinophylla",-1176849.483,-3365314.171
"adinophylla",119.6,-30.4,"adinophylla",-1176849.483,-3365314.171
"adinophylla",119.6,-30.4,"adinophylla",-1176849.483,-3365314.171
"adinophylla",119.63333,-30.4,"adinophylla",-1173696.125,-3365007.556
"adinophylla",119.60833,-30.39167,"adinophylla",-1176151.797,-3364308.282
"adinophylla",119.6,-30.38333,"adinophylla",-1177030.533,-3363454.699
"adinophylla",119.6,-30.38333,"adinophylla",-1177030.533,-3363454.699
"adinophylla",119.66667,-30.38333,"adinophylla",-1170721.821,-3362842.105
"adinophylla",119.6,-30.3833,"adinophylla",-1177030.859,-3363451.352
"adinophylla",119.6231,-30.375,"adinophylla",-1174935.013,-3362312.869
"adinophylla",119.4,-30.36667,"adinophylla",-1196137.646,-3363454.04
"adinophylla",119.66667,-30.36667,"adinophylla",-1170901.794,-3360983.629
"adinophylla",119.583,-30.35,"adinophylla",-1179001.616,-3359893.573
"adinophylla",119.58333,-30.35,"adinophylla",-1178970.381,-3359890.527
"adinophylla",119.6875,-30.3375,"adinophylla",-1169244.958,-3357538.762
"adinophylla",119.68333,-30.33333,"adinophylla",-1169684.719,-3357111.736
"adinophylla",119.68333,-30.33333,"adinophylla",-1169684.719,-3357111.736
"adinophylla",119.6667,-30.3333,"adinophylla",-1171259.449,-3357260.75
"adinophylla",119.6833,-30.3333,"adinophylla",-1169687.883,-3357108.664
"alexandri",114.0333,-22.95,"alexandri",-1819275.491,-2601238.015
"alexandri",113.8,-22.4,"alexandri",-1851466.644,-2543739.796
"alexandri",114,-22.2,"alexandri",-1834393.321,-2518740.398
"alexandri",114,-22.2,"alexandri",-1834393.321,-2518740.398
"alexandri",114,-22.2,"alexandri",-1834393.321,-2518740.398
"alexandri",113.91667,-22.18333,"alexandri",-1843091.503,-2518096.704
"alexandri",114.05,-22.13333,"alexandri",-1830373.986,-2510651.977
"alexandri",114.0067,-22.1097,"alexandri",-1835130.503,-2508660.708
"alexandri",114.0067,-22.1097,"alexandri",-1835130.503,-2508660.708
"alexandri",114.0067,-22.1097,"alexandri",-1835130.503,-2508660.708
"alexandri",114,-22.1,"alexandri",-1835961.399,-2507684.636
"alexandri",114,-22.1,"alexandri",-1835961.399,-2507684.636
"alexandri",114.08333,-22.08333,"alexandri",-1827778.016,-2504646.873
"alexandri",114.05833,-22.075,"alexandri",-1830441.812,-2504083.891
"alexandri",114.05,-22.0667,"alexandri",-1831415.83,-2503285.706
"alexandri",114.05,-22.06667,"alexandri",-1831416.299,-2503282.39
"alexandri",113.91667,-22.05,"alexandri",-1845191.723,-2503358.214
"alexandri",114,-22,"alexandri",-1837529.224,-2496630.661
"alexandri",114,-22,"alexandri",-1837529.224,-2496630.661
"alexandri",114,-22,"alexandri",-1837529.224,-2496630.661
"alexandri",114,-22,"alexandri",-1837529.224,-2496630.661
"alexandri",114,-22,"alexandri",-1837529.224,-2496630.661
"alexandri",114,-22,"alexandri",-1837529.224,-2496630.661
"alexandri",114,-22,"alexandri",-1837529.224,-2496630.661
"alexandri",114,-22,"alexandri",-1837529.224,-2496630.661
"alexandri",114,-22,"alexandri",-1837529.224,-2496630.661
"alexandri",114,-22,"alexandri",-1837529.224,-2496630.661
"alexandri",114,-22,"alexandri",-1837529.224,-2496630.661
"alexandri",114,-22,"alexandri",-1837529.224,-2496630.661
"alexandri",114,-22,"alexandri",-1837529.224,-2496630.661
"alexandri",114,-22,"alexandri",-1837529.224,-2496630.661
"amblyophylla",113.5036,-26.4944,"amblyophylla",-1815264.122,-3001745.896
"amblyophylla",113.6,-26,"amblyophylla",-1813826.704,-2945509.7
"amblyophylla",113.6,-26,"amblyophylla",-1813826.704,-2945509.7
"amblyophylla",113.55,-25.91667,"amblyophylla",-1820065.997,-2936974.197
"aphanoclada",120,-22,"aphanoclada",-1227275.375,-2424648.752
"aphanoclada",120,-22,"aphanoclada",-1227275.375,-2424648.752
"aphanoclada",120,-22,"aphanoclada",-1227275.375,-2424648.752
"aphanoclada",120,-22,"aphanoclada",-1227275.375,-2424648.752
"aphanoclada",120,-22,"aphanoclada",-1227275.375,-2424648.752
"aphanoclada",120,-22,"aphanoclada",-1227275.375,-2424648.752
"aphanoclada",120.2,-22,"aphanoclada",-1206879.48,-2422743.433
"aphanoclada",120.2,-22,"aphanoclada",-1206879.48,-2422743.433
"aphanoclada",120.2,-22,"aphanoclada",-1206879.48,-2422743.433
"aphanoclada",120.0994,-21.9725,"aphanoclada",-1217424.544,-2420641.18
"aphanoclada",120.0994,-21.9725,"aphanoclada",-1217424.544,-2420641.18
