"NAME","neg1825000_neg2975000","75000_neg2525000","625000_neg3475000","neg1425000_neg3225000","1775000_neg3725000","neg1425000_neg3475000","neg1225000_neg3775000","neg1425000_neg3275000","1225000_neg1275000","neg1175000_neg3275000","neg1075000_neg2825000","neg1075000_neg2375000","rwibald_type"
"Axis_0","-1825000","   75000","  625000","-1425000"," 1775000","-1425000","-1225000","-1425000"," 1225000","-1175000","-1075000","-1075000","other"
"Axis_1","-2975000","-2525000","-3475000","-3225000","-3725000","-3475000","-3775000","-3275000","-1275000","-3275000","-2825000","-2375000","other"
"CANAPE_CODE","1","2","3","3","1","2","3","3","1","2","3","3","other"
"MIXED","0","0","1","1","0","0","1","1","0","0","1","1","other"
"NEO","1","0","0","0","1","0","0","0","1","0","0","0","other"
"PALAEO","0","1","0","0","0","1","0","0","0","1","0","0","other"
"1___",NA,"0.0001357015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"2___",NA,"5.554991e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"3___",NA,"-6.165437e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"4___",NA,"-3.220634e-06",NA,NA,NA,"-3.220634e-06",NA,NA,NA,NA,NA,NA,"other"
"5___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"6___",NA,"5.244493e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"7___",NA,"-4.174294e-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"8___",NA,"-2.878899e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"9___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"10___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"11___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"12___",NA,"-2.377112e-06","-2.377112e-06","-2.377112e-06",NA,NA,NA,"-2.377112e-06",NA,NA,NA,NA,"other"
"13___",NA,"-7.45649e-06","-7.45649e-06","-7.45649e-06",NA,"-7.45649e-06",NA,"-7.45649e-06",NA,NA,NA,NA,"other"
"14___",NA,"-7.090249e-06","-7.090249e-06","-7.090249e-06",NA,"-7.090249e-06",NA,"-7.090249e-06",NA,NA,NA,NA,"other"
"15___",NA,"1.407641e-05","1.407641e-05","1.407641e-05",NA,"1.407641e-05",NA,"1.407641e-05",NA,NA,NA,NA,"other"
"16___",NA,NA,NA,NA,NA,"2.486645e-05","2.486645e-05",NA,NA,NA,NA,NA,"other"
"17___",NA,NA,NA,NA,NA,"2.713862e-05","2.713862e-05",NA,NA,NA,NA,NA,"other"
"18___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"19___",NA,NA,NA,"-3.70757e-05",NA,NA,NA,"-3.70757e-05",NA,NA,NA,NA,"other"
"20___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"21___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"22___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"23___",NA,"9.202372e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"24___",NA,"-1.204457e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"25___",NA,"-1.431033e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"26___",NA,"-1.403215e-05",NA,NA,NA,NA,NA,"-1.403215e-05",NA,"-1.403215e-05",NA,NA,"other"
"27___",NA,"1.812889e-06",NA,NA,NA,NA,NA,"1.812889e-06",NA,"1.812889e-06",NA,NA,"other"
"28___",NA,"1.158914e-05",NA,"1.158914e-05",NA,NA,NA,"1.158914e-05",NA,"1.158914e-05",NA,NA,"other"
"29___",NA,NA,"-3.762008e-06",NA,"-3.762008e-06",NA,NA,NA,NA,NA,NA,NA,"other"
"30___",NA,NA,"0.000147712",NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"31___",NA,NA,"3.137889e-05",NA,"3.137889e-05",NA,NA,NA,NA,NA,NA,NA,"other"
"32___",NA,"7.321315e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"33___",NA,NA,NA,"3.47811e-05",NA,"3.47811e-05","3.47811e-05","3.47811e-05",NA,NA,NA,NA,"other"
"34___",NA,"2.540062e-05",NA,"2.540062e-05",NA,"2.540062e-05","2.540062e-05","2.540062e-05",NA,NA,NA,NA,"other"
"35___",NA,"1.545994e-05","1.545994e-05","1.545994e-05","1.545994e-05","1.545994e-05","1.545994e-05","1.545994e-05",NA,NA,NA,NA,"other"
"36___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"neo-endemic"
"37___",NA,NA,NA,"0.0008268952",NA,NA,NA,"0.0008268952",NA,NA,NA,NA,"meso-endemic"
"38___",NA,"-8.711777e-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"39___",NA,NA,NA,NA,NA,"-5.850466e-05","-5.850466e-05",NA,NA,NA,NA,NA,"other"
"40___",NA,NA,NA,"-2.066672e-05",NA,"-2.066672e-05","-2.066672e-05","-2.066672e-05",NA,NA,NA,NA,"other"
"41___","-1.323658e-05","-1.323658e-05","-1.323658e-05",NA,NA,"-1.323658e-05","-1.323658e-05",NA,NA,NA,NA,NA,"other"
"42___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"43___","-1.175169e-05","-1.175169e-05","-1.175169e-05",NA,NA,"-1.175169e-05","-1.175169e-05",NA,NA,NA,NA,NA,"other"
"44___","-7.648849e-06","-7.648849e-06","-7.648849e-06",NA,NA,"-7.648849e-06","-7.648849e-06",NA,NA,NA,NA,NA,"other"
"45___","-5.514339e-06","-5.514339e-06","-5.514339e-06","-5.514339e-06",NA,"-5.514339e-06","-5.514339e-06","-5.514339e-06",NA,NA,NA,NA,"other"
"46___","-8.998019e-06","-8.998019e-06","-8.998019e-06","-8.998019e-06",NA,"-8.998019e-06","-8.998019e-06","-8.998019e-06",NA,NA,NA,NA,"other"
"47___","3.207411e-06","3.207411e-06","3.207411e-06","3.207411e-06",NA,"3.207411e-06","3.207411e-06","3.207411e-06",NA,NA,NA,NA,"other"
"48___","1.869017e-05","1.869017e-05","1.869017e-05","1.869017e-05",NA,"1.869017e-05","1.869017e-05","1.869017e-05",NA,NA,NA,NA,"other"
"49___","-4.984111e-06","-4.984111e-06","-4.984111e-06","-4.984111e-06",NA,"-4.984111e-06","-4.984111e-06","-4.984111e-06",NA,NA,NA,NA,"other"
"50___","-2.575613e-06","-2.575613e-06","-2.575613e-06","-2.575613e-06","-2.575613e-06","-2.575613e-06","-2.575613e-06","-2.575613e-06",NA,NA,NA,NA,"other"
"51___",NA,NA,NA,NA,NA,"0.0001819916",NA,NA,NA,NA,NA,NA,"other"
"52___",NA,NA,NA,NA,NA,"0.0003014426",NA,NA,NA,NA,NA,NA,"other"
"53___",NA,"-3.932564e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"54___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"55___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"56___",NA,"-2.534778e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"57___",NA,"1.437972e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"58___",NA,"1.869697e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"59___",NA,"-3.761631e-06",NA,NA,NA,"-3.761631e-06",NA,NA,NA,NA,NA,NA,"other"
"60___",NA,NA,NA,NA,NA,NA,"3.450926e-05",NA,NA,NA,NA,NA,"other"
"61___",NA,NA,NA,NA,NA,"0.0007822965",NA,NA,NA,NA,NA,NA,"other"
"62___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"63___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"64___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"65___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"66___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"67___",NA,NA,NA,NA,NA,"5.031916e-05",NA,NA,NA,NA,NA,NA,"other"
"68___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"neo-endemic"
"69___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"70___",NA,NA,NA,NA,NA,"-5.79223e-05","-5.79223e-05",NA,NA,NA,NA,NA,"other"
"71___",NA,NA,NA,NA,NA,"0.0003609642","0.0003609642",NA,NA,NA,NA,NA,"other"
"72___",NA,NA,NA,NA,NA,NA,"0.0009603271",NA,NA,NA,NA,NA,"other"
"73___",NA,NA,NA,NA,NA,NA,"0.0002533172",NA,NA,NA,NA,NA,"other"
"74___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"75___",NA,NA,NA,NA,"0.0001066789",NA,"0.0001066789",NA,NA,NA,NA,NA,"other"
"76___",NA,NA,NA,NA,"4.250564e-05",NA,"4.250564e-05",NA,NA,NA,NA,NA,"other"
"77___",NA,NA,NA,NA,"-2.737683e-05",NA,"-2.737683e-05",NA,NA,NA,NA,NA,"other"
"78___",NA,NA,NA,NA,"-1.894879e-06",NA,"-1.894879e-06",NA,NA,NA,NA,NA,"other"
"79___",NA,NA,NA,NA,"-3.573355e-05","-3.573355e-05","-3.573355e-05",NA,NA,NA,NA,NA,"other"
"80___",NA,NA,NA,NA,"-1.122019e-06","-1.122019e-06","-1.122019e-06",NA,NA,NA,NA,NA,"other"
"81___",NA,NA,NA,NA,"-9.896959e-06","-9.896959e-06","-9.896959e-06",NA,NA,NA,NA,NA,"other"
"82___",NA,NA,NA,NA,"-6.057764e-06","-6.057764e-06","-6.057764e-06",NA,NA,NA,NA,NA,"other"
"83___",NA,NA,NA,NA,"-2.162074e-05","-2.162074e-05","-2.162074e-05",NA,NA,NA,NA,NA,"other"
"84___",NA,"-9.239602e-06",NA,NA,"-9.239602e-06","-9.239602e-06","-9.239602e-06",NA,NA,NA,NA,NA,"other"
"85___","1.881664e-06","1.881664e-06","1.881664e-06","1.881664e-06","1.881664e-06","1.881664e-06","1.881664e-06","1.881664e-06",NA,NA,NA,NA,"other"
"86___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"87___",NA,"-7.798385e-06",NA,"-7.798385e-06",NA,NA,NA,NA,NA,NA,NA,NA,"other"
"88___",NA,"6.121826e-06",NA,"6.121826e-06",NA,NA,NA,NA,NA,NA,NA,NA,"other"
"89___",NA,"2.449591e-05",NA,"2.449591e-05",NA,NA,NA,NA,NA,NA,NA,NA,"other"
"90___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"91___",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"92___",NA,NA,"0.0001327841",NA,"0.0001327841",NA,NA,NA,NA,NA,NA,NA,"other"
"93___",NA,NA,NA,"-7.216018e-05",NA,NA,NA,"-7.216018e-05",NA,NA,NA,NA,"other"
"94___",NA,NA,NA,"1.440229e-05",NA,NA,NA,"1.440229e-05",NA,NA,NA,NA,"other"
"95___",NA,NA,"2.485917e-05","2.485917e-05","2.485917e-05",NA,NA,"2.485917e-05",NA,NA,NA,NA,"other"
"96___",NA,NA,"1.462687e-06","1.462687e-06","1.462687e-06",NA,NA,"1.462687e-06",NA,NA,NA,NA,"other"
"97___",NA,"-4.998158e-07","-4.998158e-07","-4.998158e-07","-4.998158e-07",NA,NA,"-4.998158e-07",NA,NA,NA,NA,"other"
"98___",NA,NA,NA,"0.003976421",NA,NA,NA,"0.003976421",NA,NA,NA,NA,"other"
"99___",NA,"-4.063669e-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
